text,label,source,type
Les actes uniformes sont préparés par le Secrétariat Permanent en concertation avec les gouvernements des Etats Parties. Ils sont délibérés et adoptés par le Conseil des Ministres après avis de la Cour Commune de Justice et d’Arbitrage.,droit_commercial,"Code Bleu OHADA, art. 6",article
Peux-tu m'expliquer ce que prévoit l'Acte uniforme sur : les actes uniformes sont préparés par le secrétariat permanent en concertation avec les gouvernements,droit_commercial,"Code Bleu OHADA, art. 6",query_variant
"Les projets d’Actes uniformes sont communiqués par le Secrétariat Permanent aux Gouvernements des Etats parties, qui disposent d’un délai de quatre-vingt-dix jours à compter de la date de la réception de cette communication pour faire parvenir au Secrétariat Permanent leurs observations écrites. Toutefois, le délai prévu à l’alinéa premier peut être prorogé d’une durée équivalente en fonction des circonstances et de la nature du texte à adopter, à la diligence du Secrétariat Permanent. A l’expiration de ce délai, le projet d’Acte uniforme, accompagné des observations des Etats parties et d’un ",droit_commercial,"Code Bleu OHADA, art. 7",article
Quelles sont les règles applicables en matière de : les projets d’actes uniformes sont communiqués par le secrétariat permanent aux gouvernements des etats,droit_commercial,"Code Bleu OHADA, art. 7",query_variant
L’adoption des actes uniformes par le Conseil des Ministres requiert l’unanimité des représentants des Etats Parties présents et votants. L’adoption des actes uniformes n’est valable que si les deux tiers au moins des Etats Parties sont représentés. L’abstention ne fait pas obstacle à l’adoption des actes uniformes.,droit_commercial,"Code Bleu OHADA, art. 8",article
Peux-tu m'expliquer ce que prévoit l'Acte uniforme sur : l’adoption des actes uniformes par le conseil des ministres requiert l’unanimité des représentants des,droit_commercial,"Code Bleu OHADA, art. 8",query_variant
"Les Actes uniformes sont publiés au Journal officiel de l’OHADA par le Secrétariat Permanent dans les soixante jours suivant leur adoption. Ils sont applicables quatre-vingt dix jours après cette publication, sauf modalités particulières d’entrée en vigueur prévues par les Actes uniformes. Ils sont également publiés dans les Etats parties, au Journal officiel ou par tout autre moyen approprié. Cette formalité n’a aucune incidence sur l’entrée en vigueur des Actes uniformes.",droit_commercial,"Code Bleu OHADA, art. 9",article
Quelles sont les règles applicables en matière de : les actes uniformes sont publiés au journal officiel de l’ohada par le secrétariat permanent,droit_commercial,"Code Bleu OHADA, art. 9",query_variant
Le Conseil des Ministres approuve sur proposition du Secrétaire Permanent le programme annuel d’harmonisation du droit des affaires.,droit_commercial,"Code Bleu OHADA, art. 11",article
Quelles sont les règles applicables en matière de : le conseil des ministres approuve sur proposition du secrétaire permanent le programme annuel d’harmonisation,droit_commercial,"Code Bleu OHADA, art. 11",query_variant
"Les Actes uniformes peuvent être modifiés, à la demande de tout Etat Partie ou du Secrétariat Permanent, après autorisation du Conseil des Ministres. La modification intervient dans les conditions prévues par les articles 6 à 9 ci-dessus. Titre III : CONTENTIEUX RELATIFS A L’INTERPRETATION DES ACTES UNIFORMES",droit_commercial,"Code Bleu OHADA, art. 12",article
"En droit commercial OHADA, que se passe-t-il quand les actes uniformes peuvent être modifiés, à la demande de tout etat partie ou",droit_commercial,"Code Bleu OHADA, art. 12",query_variant
Les arrêts de la Cour Commune de Justice et d’Arbitrage ont l’autorité de la chose jugée et la force exécutoire. Ils reçoivent sur le territoire de chacun des Etats Parties une exécution forcée dans les mêmes conditions que les décisions des juridictions nationale. Dans une même affaire aucune décision contraire à un arrêt de la Cour Commune de Justice et d’Arbitrage ne peut faire l’objet d’une exécution forcée sur le territoire d’un Etat Partie. Titre IV : ARBITRAGE,droit_commercial,"Code Bleu OHADA, art. 20",article
Peux-tu m'expliquer ce que prévoit l'Acte uniforme sur : les arrêts de la cour commune de justice et d’arbitrage ont l’autorité de la,droit_commercial,"Code Bleu OHADA, art. 20",query_variant
"«Tout tribunal d’un Etat Partie saisi d’un litige que les parties étaient convenues de soumettre à l’arbitrage se déclarera incompétent si l’une des parties le demande, et renverra le cas échéant à la procédure d’arbitrage prévue au présent traité.» Jurisprudence • Cf. Arrêt n° 035/2010 du 03 juin 2010, Aff. Carlos Domingo GOMES C/ Banque de l'Afrique Occidentale dite BAO SA, JURIDATA N° J035-06/2010 sous l'article 21, Traité OHADA",droit_commercial,"Code Bleu OHADA, art. 23",article
Que dit le droit OHADA concernant : «tout tribunal d’un etat partie saisi d’un litige que les parties étaient convenues de,droit_commercial,"Code Bleu OHADA, art. 23",query_variant
"Avant de signer une sentence partielle ou définitive, l’arbitre doit en soumettre le projet à la Cour Commune de Justice et d’Arbitrage. Celle-ci ne peut proposer que des modifications de pure forme.",droit_commercial,"Code Bleu OHADA, art. 24",article
"Que dit le droit OHADA concernant : avant de signer une sentence partielle ou définitive, l’arbitre doit en soumettre le projet",droit_commercial,"Code Bleu OHADA, art. 24",query_variant
Les sentences arbitrales rendues conformément aux stipulations du présent titre ont l’autorité définitive de la chose jugée sur le territoire de chaque Etat Partie au même titre que les décisions rendues par les juridictions de l’Etat. Elles peuvent faire l’objet d’une exécution forcée en vertu d’une décision d’exequatur. La Cour Commune de Justice et d’Arbitrage a seule compétence pour rendre une telle décision. L’exequatur ne peut être refusé que dans les cas suivants : 1. Si l’arbitre a statué sans convention d’arbitrage ou sur une convention nulle ou expirée ; 2. Si l’arbitre a statué sans,droit_commercial,"Code Bleu OHADA, art. 25",article
Quelles sont les règles applicables en matière de : les sentences arbitrales rendues conformément aux stipulations du présent titre ont l’autorité définitive de,droit_commercial,"Code Bleu OHADA, art. 25",query_variant
Le Règlement d’arbitrage de la Cour Commune de Justice et d’Arbitrage est fixé par le Conseil des Ministres dans les conditions prévues à l’article 8. Il est publié au journal officiel de l’OHADA. Il est également publié au journal officiel des Etats Parties ou par tout autre moyen approprié. Titre V : LES INSTITUTIONS,droit_commercial,"Code Bleu OHADA, art. 26",article
Peux-tu m'expliquer ce que prévoit l'Acte uniforme sur : le règlement d’arbitrage de la cour commune de justice et d’arbitrage est fixé par,droit_commercial,"Code Bleu OHADA, art. 26",query_variant
Le Conseil des Ministres se réunit au moins une fois par an sur convocation de son Président à l’initiative de celui-ci ou du tiers des Etats Parties. Il ne peut valablement délibérer que si les deux tiers au moins des Etats Parties sont représentés.,droit_commercial,"Code Bleu OHADA, art. 28",article
J'ai une question de droit des affaires OHADA sur : le conseil des ministres se réunit au moins une fois par an sur convocation,droit_commercial,"Code Bleu OHADA, art. 28",query_variant
Le Président du Conseil des Ministres arrête l’ordre du jour du Conseil sur la proposition du Secrétaire Permanent.,droit_commercial,"Code Bleu OHADA, art. 29",article
Que dit le droit OHADA concernant : le président du conseil des ministres arrête l’ordre du jour du conseil sur la,droit_commercial,"Code Bleu OHADA, art. 29",query_variant
Les décisions du Conseil des Ministres autres que celles prévues à l’article 8 sont prises à la majorité absolue des Etats Parties présents et votants. Chacun des Etats dispose d’une voix.,droit_commercial,"Code Bleu OHADA, art. 30",article
J'ai une question de droit des affaires OHADA sur : les décisions du conseil des ministres autres que celles prévues à l’article 8 sont,droit_commercial,"Code Bleu OHADA, art. 30",query_variant
"La Cour Commune de Justice et d’Arbitrage est composée de neuf juges. Toutefois le Conseil des Ministres peut, compte tenu des nécessités de service et des possibilités financières, fixer un nombre de juges supérieur à celui prévu à l’alinéa précédent. Les Juges de la Cour Commune de Justice et d’Arbitrage sont élus pour un mandat de sept ans non renouvelable, parmi les ressortissants des Etats Parties. Ils sont choisis parmi : 1. les magistrats ayant acquis une expérience professionnelle d’au moins quinze années et réunissant les conditions requises pour l’exercice dans leurs pays respectifs ",droit_commercial,"Code Bleu OHADA, art. 31",article
"En droit commercial OHADA, que se passe-t-il quand la cour commune de justice et d’arbitrage est composée de neuf juges. toutefois le",droit_commercial,"Code Bleu OHADA, art. 31",query_variant
Les membres de la Cour sont élus au scrutin secret par le Conseil des Ministres sur une liste de personnes présentées à cet effet par les Etats Parties. Chaque Etat Partie peut présenter deux candidats au plus.,droit_commercial,"Code Bleu OHADA, art. 32",article
J'ai une question de droit des affaires OHADA sur : les membres de la cour sont élus au scrutin secret par le conseil des,droit_commercial,"Code Bleu OHADA, art. 32",query_variant
Le Secrétaire Permanent invite les Etats Parties à procéder dans un délai d’au moins quatre mois avant les élections à la présentation des candidats à la Cour. Le Secrétaire Permanent dresse la liste alphabétique des personnes ainsi présentées et la communique au moins avant les élections aux Etats Parties.,droit_commercial,"Code Bleu OHADA, art. 33",article
Quelles sont les règles applicables en matière de : le secrétaire permanent invite les etats parties à procéder dans un délai d’au moins,droit_commercial,"Code Bleu OHADA, art. 33",query_variant
"Après leur élection, les membres de la Cour font la déclaration solennelle de bien et fidèlement remplir leurs fonctions en toute impartialité.",droit_commercial,"Code Bleu OHADA, art. 34",article
"En droit commercial OHADA, que se passe-t-il quand après leur élection, les membres de la cour font la déclaration solennelle de bien",droit_commercial,"Code Bleu OHADA, art. 34",query_variant
"En cas de décès d’un membre de la Cour, le Président de la Cour en informe immédiatement le Secrétariat Permanent qui déclare le siège vacant à partir de la date du décès. En cas de démission d’un membre de la Cour ou si de l’avis unanime ces autres membres de la Cour un membre a cessé de remplir ses fonctions pour toute autre cause qu’une absence de caractère temporaire ou n’est plus en mesure de les remplir, le Président de la Cour après avoir invité l’intéressé à la Cour ses observations orales en informe le Secrétaire Permanent qui déclare alors le siège vacant. Dans chacun des cas prévus ",droit_commercial,"Code Bleu OHADA, art. 35",article
"Peux-tu m'expliquer ce que prévoit l'Acte uniforme sur : en cas de décès d’un membre de la cour, le président de la cour",droit_commercial,"Code Bleu OHADA, art. 35",query_variant
Les membres de la Cour sont inamovibles. Tout membres de la Cour conserve son mandant jusqu’à la date d’entrée en fonction de son successeur.,droit_commercial,"Code Bleu OHADA, art. 36",article
Peux-tu m'expliquer ce que prévoit l'Acte uniforme sur : les membres de la cour sont inamovibles. tout membres de la cour conserve son,droit_commercial,"Code Bleu OHADA, art. 36",query_variant
"La Cour élit en son sein, pour une durée de trois ans et demi non renouvelables, son Président et ses deux Vice-Présidents. Les membres de la Cour dont le mandat restant à courir à la date de l’élection est inférieur à cette durée peuvent être élus pour exercer ces fonctions jusqu’à l’expiration dudit mandat. Ils peuvent être renouvelés dans ces fonctions s’ils sont élus par le Conseil des Ministres pour exercer un nouveau mandat de membre de la Cour. Aucun membre de la Cour ne peut exercer des fonctions politiques ou administratives. L’exercice de toute activité rémunérée doit être autorisé p",droit_commercial,"Code Bleu OHADA, art. 37",article
"J'ai une question de droit des affaires OHADA sur : la cour élit en son sein, pour une durée de trois ans et demi",droit_commercial,"Code Bleu OHADA, art. 37",query_variant
"La durée du mandat des sept juges nommés simultanément pour la constitution initiale de la Cour sera respectivement de trois ans, quatre ans, cinq ans, six ans, sept ans, huit ans et neuf ans. Elle sera déterminée pour chacun d’eux par tirage au sort effectué en Conseil des Ministres par le Président du Conseil. Le premier renouvellement de la Cour aura lieu trois ans après la constitution initiale de celle-ci.",droit_commercial,"Code Bleu OHADA, art. 38",article
J'ai une question de droit des affaires OHADA sur : la durée du mandat des sept juges nommés simultanément pour la constitution initiale de,droit_commercial,"Code Bleu OHADA, art. 38",query_variant
"Le Président de la Cour Commune de Justice et d’Arbitrage nomme le Greffier en chef de la Cour après avis de celle-ci, parmi les greffiers en chef ayant exercé leurs fonctions pendant au moins quinze ans et présentés par les Etats Parties. Après avis de la Cour, le Président nomme également le Secrétaire Général chargé d’assister celle-ci dans l’exercice de ses attributions d’administration de l’arbitrage, selon les critères définis par un règlement du Conseil des Ministres. Il pourvoit, sur proposition, selon les cas, du Greffier en chef ou du Secrétaire Général, aux autres emplois.",droit_commercial,"Code Bleu OHADA, art. 39",article
Peux-tu m'expliquer ce que prévoit l'Acte uniforme sur : le président de la cour commune de justice et d’arbitrage nomme le greffier en,droit_commercial,"Code Bleu OHADA, art. 39",query_variant
Le Secrétariat Permanent est l’organe exécutif de l’OHADA. Il est dirigé par un Secrétaire Permanent nommé par le Conseil des Ministres pour un mandat de quatre ans renouvelable une fois. Le Secrétaire Permanent représente l’OHADA. Il assiste le Conseil des Ministres. La nomination et les attributions du Secrétaire Permanent ainsi que l’organisation et le fonctionnement du Secrétariat Permanent sont définis par un règlement du Conseil des Ministres.,droit_commercial,"Code Bleu OHADA, art. 40",article
Que dit le droit OHADA concernant : le secrétariat permanent est l’organe exécutif de l’ohada. il est dirigé par un secrétaire,droit_commercial,"Code Bleu OHADA, art. 40",query_variant
"Il est institué un établissement de formation, de perfectionnement et de recherche en droit des affaires dénommé Ecole Régionale Supérieure de la Magistrature (E.R.SU.MA.). L’établissement est rattaché au Secrétariat Permanent. La dénomination et l’orientation de l’établissement peuvent être changées par un règlement du Conseil des Ministres. L’établissement est dirigé par un Directeur Général nommé par le Conseil des Ministres pour un mandat de quatre ans renouvelable une fois. L’organisation, le fonctionnement, les ressources et les prestations de l’établissement sont définis par un règlemen",droit_commercial,"Code Bleu OHADA, art. 41",article
"J'ai une question de droit des affaires OHADA sur : il est institué un établissement de formation, de perfectionnement et de recherche en droit",droit_commercial,"Code Bleu OHADA, art. 41",query_variant
"Les langues de travail de l’OHADA sont : le français, l’anglais, l’espagnol et le portugais. Avant traduction dans les autres langues, les documents déjà publiés en français produisent tous leurs effets. En cas de divergence entre les différentes traductions, la version française fait foi. Titre VI : LES DISPOSITIONS FINANCIERES",droit_commercial,"Code Bleu OHADA, art. 42",article
"En droit commercial OHADA, que se passe-t-il quand les langues de travail de l’ohada sont : le français, l’anglais, l’espagnol et le",droit_commercial,"Code Bleu OHADA, art. 42",query_variant
Les ressources de l’OHADA sont composées notamment : a. des contributions annuelles des Etats parties dont les modalités sont définies par un règlement du Conseil des Ministres ; b. des concours prévus par les conventions conclues par l’OHADA avec des Etats ou des organisations internationales ; c. de dons et legs. Les contributions annuelles des Etats parties sont arrêtées par le Conseil des Ministres. Le Conseil des Ministres approuve les conventions prévues au paragraphe b et accepte les dons et legs prévus au paragraphe c.,droit_commercial,"Code Bleu OHADA, art. 43",article
J'ai une question de droit des affaires OHADA sur : les ressources de l’ohada sont composées notamment : a. des contributions annuelles des etats,droit_commercial,"Code Bleu OHADA, art. 43",query_variant
Le barème des tarifs de la procédure d’arbitrage instituée par le présent traité ainsi que la répartition des recettes correspondantes sont approuvés par le Conseil des Ministres.,droit_commercial,"Code Bleu OHADA, art. 44",article
"En droit commercial OHADA, que se passe-t-il quand le barème des tarifs de la procédure d’arbitrage instituée par le présent traité ainsi",droit_commercial,"Code Bleu OHADA, art. 44",query_variant
"Le budget annuel de l’OHADA est adopté par le Conseil des Ministres. Les comptes de l’exercice clos sont certifiés par des commissaires aux comptes désignés par le Conseil des Ministres. Ils sont approuvés par le Conseil des Ministres. Titre VII : STATUTS, IMMUNITES ET PRIVILEGESLES",creation_entreprise,"Code Bleu OHADA, art. 45",article
Que dit le droit OHADA concernant : le budget annuel de l’ohada est adopté par le conseil des ministres. les comptes,creation_entreprise,"Code Bleu OHADA, art. 45",query_variant
L’OHADA a la pleine personnalité juridique internationale. Elle a en particulier capacité : a. de contracter ; b. d’acquérir des biens meubles et immeubles et d’en disposer ; c. d’ester en justice.,creation_entreprise,"Code Bleu OHADA, art. 46",article
Que dit le droit OHADA concernant : l’ohada a la pleine personnalité juridique internationale. elle a en particulier capacité : a,creation_entreprise,"Code Bleu OHADA, art. 46",query_variant
"Afin de pouvoir remplir ses fonctions, l’OHADA jouit sur le territoire de chaque Etat Partie des immunités et privilèges prévus au présent titre.",droit_commercial,"Code Bleu OHADA, art. 47",article
"Quelles sont les règles applicables en matière de : afin de pouvoir remplir ses fonctions, l’ohada jouit sur le territoire de chaque etat",droit_commercial,"Code Bleu OHADA, art. 47",query_variant
L’OHADA ses biens et ses avoirs ne peuvent faire l’objet d’aucune action judiciaire sauf si elle renonce à cette immunité.,droit_commercial,"Code Bleu OHADA, art. 48",article
Que dit le droit OHADA concernant : l’ohada ses biens et ses avoirs ne peuvent faire l’objet d’aucune action judiciaire sauf,droit_commercial,"Code Bleu OHADA, art. 48",query_variant
"Dans les conditions déterminées par un Règlement, les fonctionnaires et employés de l’OHADA, les juges de la Cour commune de justice et d’arbitrage ainsi que les arbitres nommés ou confirmés par cette dernière jouissent dans l’exercice de leurs fonctions des privilèges et immunités diplomatiques. Les immunités et privilèges mentionnés ci-dessus peuvent être, selon les circonstances, levés par le Conseil des Ministres. En outre, les juges ne peuvent être poursuivis pour des actes accomplis en dehors de l’exercice de leurs fonctions qu’avec l’autorisation de la Cour.",droit_commercial,"Code Bleu OHADA, art. 49",article
"Quelles sont les règles applicables en matière de : dans les conditions déterminées par un règlement, les fonctionnaires et employés de l’ohada, les",droit_commercial,"Code Bleu OHADA, art. 49",query_variant
Les archives de l’OHADA sont inviolables où qu’elles se trouvent.,droit_commercial,"Code Bleu OHADA, art. 50",article
Peux-tu m'expliquer ce que prévoit l'Acte uniforme sur : les archives de l’ohada sont inviolables où qu’elles se trouvent,droit_commercial,"Code Bleu OHADA, art. 50",query_variant
"L’OHADA, ses avoirs, ses biens et ses revenus ainsi que les opérations autorisées par le présent traité sont exonérés de tous impôts, taxes et droits de douane. L’OHADA est également exempte de toute obligation relative au recouvrement ou au paiement d’impôts, de taxes ou de droits de douane. Titre VIII : CLAUSES PROTOCOLAIRES",droit_fiscal,"Code Bleu OHADA, art. 51",article
"Que dit le droit OHADA concernant : l’ohada, ses avoirs, ses biens et ses revenus ainsi que les opérations autorisées par",droit_fiscal,"Code Bleu OHADA, art. 51",query_variant
"Le présent traité est soumis à la ratification des Etats signataires conformément à leurs procédures constitutionnelles. Le présent traité entrera en vigueur soixante jours après la date du dépôt du septième instrument de ratification. Toutefois, si la date de dépôt du septième instrument de ratification est antérieure au cent quatre vingtième jour qui suit le jour de la signature du traité, le traité entrera en vigueur le deux cent quarantième jour suivant la date de sa signature. A l’égard de tout Etat signataire déposant ultérieurement son instrument de ratification, le traité et les actes ",droit_commercial,"Code Bleu OHADA, art. 52",article
Peux-tu m'expliquer ce que prévoit l'Acte uniforme sur : le présent traité est soumis à la ratification des etats signataires conformément à leurs,droit_commercial,"Code Bleu OHADA, art. 52",query_variant
"Le présent traité est, dès son entrée en vigueur, ouvert à l’adhésion de tout Etat membre de l’OUA et non signataire du traité. Il est également ouvert à l’adhésion de tout autre Etat non membre de l’OUA invité à y adhérer du commun accord de tous les Etats Parties.",droit_commercial,"Code Bleu OHADA, art. 53",article
"En droit commercial OHADA, que se passe-t-il quand le présent traité est, dès son entrée en vigueur, ouvert à l’adhésion de tout",droit_commercial,"Code Bleu OHADA, art. 53",query_variant
Aucune réserve n’est admise au présent traité.,droit_commercial,"Code Bleu OHADA, art. 54",article
"En droit commercial OHADA, que se passe-t-il quand aucune réserve n’est admise au présent traité",droit_commercial,"Code Bleu OHADA, art. 54",query_variant
"Dès l’entrée en vigueur du traité, les institutions communes prévues aux articles 27 à 41 seront mises en place. Les Etats signataires du traité ne l’ayant pas encore ratifié pourront en outre siéger au Conseil des Ministres en qualité d’observateurs sans droit de vote.",droit_commercial,"Code Bleu OHADA, art. 55",article
"Peux-tu m'expliquer ce que prévoit l'Acte uniforme sur : dès l’entrée en vigueur du traité, les institutions communes prévues aux articles 27 à",droit_commercial,"Code Bleu OHADA, art. 55",query_variant
"Tout différend qui pourrait surgir entre les Etats Parties quant à l’interprétation ou l’application du présent traité et ne serait pas résolu à l’amiable peut être porté par un Etat Partie devant la Cour Commune de Justice et d’Arbitrage. Si la Cour compte sur le siège un juge de la nationalité d’une des parties, toute autre partie peut désigner un juge ad hoc pour siéger dans l’affaire. Ce dernier devra remplir les conditions fixées à l’article 31.",droit_commercial,"Code Bleu OHADA, art. 56",article
"En droit commercial OHADA, que se passe-t-il quand tout différend qui pourrait surgir entre les etats parties quant à l’interprétation ou l’application",droit_commercial,"Code Bleu OHADA, art. 56",query_variant
Les instruments de ratification et les instruments d’adhésion seront déposés auprès du Gouvernement du Sénégal qui sera le Gouvernement dépositaire. Copie en sera délivrée au Secrétariat Permanent par ce dernier.,droit_commercial,"Code Bleu OHADA, art. 57",article
J'ai une question de droit des affaires OHADA sur : les instruments de ratification et les instruments d’adhésion seront déposés auprès du gouvernement du,droit_commercial,"Code Bleu OHADA, art. 57",query_variant
Tout Etat ratifiant le présent traité ou y adhérant postérieurement à l’entrée en vigueur d’un amendement au présent traité devient par là même partie au traité tel qu’amendé. Le Conseil des Ministres ajoute le nom de l’Etat adhérent sur la liste prévue par l’article 27 immédiatement avant le nom de l’Etat qui assure la présidence du Conseil des Ministres à la date de l’adhésion.,droit_commercial,"Code Bleu OHADA, art. 58",article
J'ai une question de droit des affaires OHADA sur : tout etat ratifiant le présent traité ou y adhérant postérieurement à l’entrée en vigueur,droit_commercial,"Code Bleu OHADA, art. 58",query_variant
Le Gouvernement dépositaire enregistrera le Traité auprès de l’Union Africaine et auprès de l’Organisation des Nations Unies conformément à l’article 102 de la charte des Nations-Unies. Une copie du Traité enregistré sera délivrée au Secrétariat Permanent par le Gouvernement dépositaire.,droit_commercial,"Code Bleu OHADA, art. 59",article
"En droit commercial OHADA, que se passe-t-il quand le gouvernement dépositaire enregistrera le traité auprès de l’union africaine et auprès de l’organisation",droit_commercial,"Code Bleu OHADA, art. 59",query_variant
Le gouvernement dépositaire avisera sans délai tous les Etats signataires ou adhérents : a. des dates de signature ; b. des dates d’enregistrement du traité ; c. des dates de dépôt des instruments de ratification et d’adhésion ; d. de la date d’entrée en vigueur du traité. Titre IX : REVISION ET DENONCIATION,droit_commercial,"Code Bleu OHADA, art. 60",article
J'ai une question de droit des affaires OHADA sur : le gouvernement dépositaire avisera sans délai tous les etats signataires ou adhérents : a,droit_commercial,"Code Bleu OHADA, art. 60",query_variant
"Le Traité peut être amendé ou révisé si un Etat partie envoie, à cet effet, une demande écrite au Secrétariat Permanent de l’OHADA qui en saisit le Conseil des Ministres. Le Conseil des Ministres apprécie l’objet de la demande et l’étendue de la modification. L’amendement ou la révision doit être adopté dans les mêmes formes que le Traité à la diligence du Conseil des Ministres.",droit_commercial,"Code Bleu OHADA, art. 61",article
"J'ai une question de droit des affaires OHADA sur : le traité peut être amendé ou révisé si un etat partie envoie, à cet",droit_commercial,"Code Bleu OHADA, art. 61",query_variant
"Le présent traité a une durée illimitée. Il ne peut, en tout état de cause, être dénoncé avant dix années à partir de la date de son entrée en vigueur. Toute dénonciation du présent traité doit être notifiée au gouvernement dépositaire et ne produira d’effet qu’une année après la date de cette notification.",droit_commercial,"Code Bleu OHADA, art. 62",article
"En droit commercial OHADA, que se passe-t-il quand le présent traité a une durée illimitée. il ne peut, en tout état de",droit_commercial,"Code Bleu OHADA, art. 62",query_variant
"Le Traité, rédigé en deux exemplaires en langues française, anglaise, espagnole et portugaise, sera déposé dans les archives du Gouvernement de la République du Sénégal qui remettra une copie certifiée conforme à chacun des Etats parties. DROIT COMMERCIAL GENERAL CHAPITRE PRELIMINAIRE",droit_commercial,"Code Bleu OHADA, art. 63",article
"Quelles sont les règles applicables en matière de : le traité, rédigé en deux exemplaires en langues française, anglaise, espagnole et portugaise, sera",droit_commercial,"Code Bleu OHADA, art. 63",query_variant
"Ont notamment le caractère d’actes de commerce, par leur forme, la lettre de change, le billet à ordre et le warrant.",droit_commercial,"Code Bleu OHADA, art. 4",article
"J'ai une question de droit des affaires OHADA sur : ont notamment le caractère d’actes de commerce, par leur forme, la lettre de change",droit_commercial,"Code Bleu OHADA, art. 4",query_variant
"Nul ne peut accomplir des actes de commerce à titre de profession, s’il n’est juridiquement capable d’exercer le commerce.",droit_commercial,"Code Bleu OHADA, art. 6",article
"Peux-tu m'expliquer ce que prévoit l'Acte uniforme sur : nul ne peut accomplir des actes de commerce à titre de profession, s’il n’est",droit_commercial,"Code Bleu OHADA, art. 6",query_variant
"Le mineur, sauf s’il est émancipé, ne peut avoir la qualité de commerçant ni effectuer des actes de commerce. Le conjoint du commerçant n’a la qualité de commerçant que s’il accomplit les actes visés aux articles 3 et 4 ci-dessus, à titre de profession et séparément de ceux de l’autre conjoint.",droit_commercial,"Code Bleu OHADA, art. 7",article
"Quelles sont les règles applicables en matière de : le mineur, sauf s’il est émancipé, ne peut avoir la qualité de commerçant ni",droit_commercial,"Code Bleu OHADA, art. 7",query_variant
"Nul ne peut exercer une activité commerciale lorsqu’il est soumis à un statut particulier établissant une incompatibilité. Il n’y a pas d’incompatibilité sans texte. Il appartient à celui qui invoque l’incompatibilité d’en rapporter la preuve. Les actes accomplis par une personne en situation d’incompatibilité n’en restent pas moins valables à l’égard des tiers de bonne foi. Ceux-ci peuvent, si bon leur semble, se prévaloir des actes accomplis par une personne en situation d’incompatibilité, mais celle-ci ne peut s’en prévaloir.",droit_commercial,"Code Bleu OHADA, art. 8",article
Peux-tu m'expliquer ce que prévoit l'Acte uniforme sur : nul ne peut exercer une activité commerciale lorsqu’il est soumis à un statut particulier,droit_commercial,"Code Bleu OHADA, art. 8",query_variant
"Nul ne peut exercer une activité commerciale, directement ou par personne interposée, s’il a fait l’objet : • d’une interdiction générale, définitive ou temporaire, prononcée par une juridiction de l’un des États parties, que cette interdiction ait été prononcée comme peine principale ou comme peine complémentaire ; • d’une interdiction prononcée par une juridiction professionnelle ; dans ce cas, l’interdiction ne s’applique qu’à l’activité commerciale considérée ; • d’une interdiction par l’effet d’une condamnation définitive à une peine privative de liberté pour un crime de droit commun, ou ",droit_commercial,"Code Bleu OHADA, art. 10",article
